"Project_no","Project.Title","Keyword","Keyword_hit"
"ERO_619","combined  ultrasonically  activated  water  stream  and  novel  disinfectant  for vcjd  decontamination  of re-usable  medical  instruments","eco","1"
"ERO_620","hydrogen economy in scotland through offshore renewable energy","eco","1"
"ERO_621","rising from the depths: utilising marine cultural heritage in east africa to help develop sustainable social, economic and cultural benefits","eco","1"
"ERO_622","social, economic and environmental entanglements in the digital economy","eco","1"
"ERO_623","decoding biochar-microbial interactions for microbial electrochemical technology","eco","1"
"ERO_624","extending the record of ice-sheet change in antarctica from historical archives","eco","1"
"ERO_625","the new data economies of social enterprise","eco","1"
"ERO_626","verifiable goal recognition for autonomous driving","eco","1"
"ERO_627","the family economy in early modern scotland, 1560-1750-mason-leverhulmeecf-february2021","eco","1"
"ERO_628","econ ukri get ideads for covid lv","eco","1"
"ERO_629","us-uk collab: integration of epidemiology economics and behaviour for better wildlife and farm management of disease","eco","1"
"ERO_630","selective serotonin reuptake inhibitors for stroke recovery","eco","1"
"ERO_631","deconstructing the influence of astrocytes on ftd/als in vivo using zebrafish","eco","1"
"ERO_632","bioeconomy accelerator - accelerating the 4th industrial revolution across scotland's central belt","eco","1"
"ERO_633","bioeconomy accelerator - accelerating the 4th industrial revolution across scotland's central belt","eco","1"
"ERO_634","bioeconomy accelerator - accelerating the 4th industrial revolution across scotland's central belt","eco","1"
"ERO_635","re-terra: intelligent restoration and monitoring for terrestrial and fresh aquatic ecosystem services","eco","1"
"ERO_636","restoraction: nature-based solutions for restoring ecosystems and upscaling transformative action towards climate neutrality","eco","1"
"ERO_637","optimising second-life batteries for mini-grid electrification in kenya and nigeria","eco","1"
"ERO_638","trace: tri-territorial regional algae-based circular economy","eco","1"
"ERO_639","refresh: rejuvenation of exhausted farmland for cleaner ecosystems and enhanced biodiversity","eco","1"
"ERO_640","implementing large-scale marine ecosystem restoration in changing european seas","eco","1"
"ERO_641","implementing large-scale marine ecosystem restoration in changing european seas","eco","1"
"ERO_642","imaging macroscopic cortical dynamics to understand sensorimotor dysfunction and recovery in a mouse model of rett syndrome","eco","1"
"ERO_643","building an effective immersive environment for clinical mental health care and recovery","eco","1"
"ERO_644","eating disorders: delineating illness and recovery trajectories to inform personalised prevention and early intervention in young people (edify)","eco","1"
"ERO_645","a high efficiency rov designed for the offshore renewables and decommissioning sectors and limiting personnel interactions","eco","1"
"ERO_646","feasibility study and pilot phase of the antiplatelet secondary prevention international randomised trial after intracerebral haemorrhage","eco","1"
"ERO_647","feasibility study and pilot phase of the antiplatelet secondary prevention international randomised trial after intracerebral haemorrhage","eco","1"
"ERO_648","an examination of gene-environment interactions across individual socio-economic circumstances and their association with colorectal cancer outcomes","eco","1"
"ERO_649","road to recovery: understanding the impact of covid and recovery phases on children and young people with intellectual disabilities and their families","eco","1"
"ERO_650","a tapestry of treescapes: weaving the cultural, socio-economic and environmental value of trees for a zero carbon and biodiverse future","eco","1"
"ERO_651","the new real – trust and acceptance in networked, online experiences to enable and support post-covid19 recovery","eco","1"
"ERO_652","the new real – trust and acceptance in networked, online experiences to enable and support post-covid19 recovery","eco","1"
"ERO_653","smart energy neighbourhoods: fostering a net-zero, equitable, post pandemic recovery","eco","1"
"ERO_654","covid-19 impact to graduate entrepreneurship - university start-up ecosystems, local economic policy implications and post -covid scenarios","eco","1"
"ERO_655","experiences of covid-19 and recovery: learning from polyphonic voices for communities, policy makers and health and social care providers","eco","1"
"ERO_656","development of endothermic formulations to protect flash memories in flight recorders from heat damage","eco","1"
"ERO_657","earthquakes and imaging beneath the oceans using submarine telecoms cables as seismometers","eco","1"
"ERO_658","impacts of covid-19 on the fisheries socio-ecosystem of galapagos","eco","1"
"ERO_659","impacts of covid-19 on the fisheries socio-ecosystem of galapagos","eco","1"
"ERO_660","impacts of covid-19 on the fisheries socio-ecosystem of galapagos","eco","1"
"ERO_661","social inequalities in the creative economy over time and place: stage two fellowship extension","eco","1"
"ERO_662","translation for publication on ‘ten years after: health, wellbeing and community recovery in fukushima","eco","1"
"ERO_663","reconceptualising shared learning spaces to support high-quality learning for disadvantaged young people in educational settings during covid-19","eco","1"
"ERO_664","artifact: advancing our recognition of texts made illegible following chemical treatments","eco","1"
"ERO_665","evaluation of commercial recombinant a-synuclein for use as rt-quic substrate","eco","1"
"ERO_666","economically optimised methods for genomic selection in aquaculture","eco","1"
"ERO_667","decoding the cardinal signs of inflammation in vivo using innovative imaging of the species-conserved 18kda translocator protein (tspo) and proteomics","eco","1"
"ERO_668","decoding the cardinal signs of inflammation in vivo using innovative imaging of the species-conserved 18kda translocator protein (tspo) and proteomics","eco","1"
"ERO_669","decoding the cardinal signs of inflammation in vivo using innovative imaging of the species-conserved 18kda translocator protein (tspo) and proteomics","eco","1"
